prod_id,retailer,product_name,original_number_reviews,rating
P61003,sephora,bareMinerals Original Foundation Broad Spectrum SPF 15,18537,92
P2855,sephora,Blush,15463,94
P217905,sephora,HD Invisible Cover Foundation,13593,86
P289307,sephora,They're Real! Mascara,11081,84
P174213,sephora,Buxom® Full-On™ Lip Polish,10577,92
VP11362,ulta,bareMinerals SPF 15 Foundation,9622,92
P40404,sephora,Diorshow Mascara,9138,84
P228204,sephora,BUXOM® Lash Mascara,7700,88
P57002,sephora,Sugar Lip Treatment SPF 15,7216,90
P35082,sephora,Aqua Eyes,6926,86
P253818,sephora,Stay All Day® Waterproof Liquid Eye Liner,6673,88
P202633,sephora,Brow Wiz,6373,92
P235502,sephora,Nano Eyeliner,5968,76
P49014,sephora,BADgal Lash Mascara,5945,82
xlsImpprod3460265,ulta,They're Real Mascara,5805,86
P2865,sephora,Lipstick,5694,88
P245205,sephora,Tattoo Liner,5512,88
P61004,sephora,Mineral Veil,5305,92
P210400,sephora,HD Microfinish Powder,5305,88
P202625,sephora,Shadow Insurance,5237,92
P177117,sephora,Mat Velvet + Matifying Foundation,5119,86
P311138,sephora,Lock-It Tattoo Foundation,4905,84
P230234,sephora,Retractable Waterproof Eyeliner,4777,86
P9889,sephora,Iconic Photo Finish Foundation Primer,4747,88
xlsImpprod1480002,ulta,bareMinerals MATTE SPF 15 Foundation,4629,90
P111902,sephora,"Lights, Camera, Lashes™ 4-in-1 Mascara",4292,86
P1273,sephora,Boi-ing,4232,84
P42204,sephora,Rosebud Salve,4158,94
P228913,sephora,the original beautyblender®,4048,92
P61006,sephora,bareMinerals Broad Spectrum Multi-Tasking Face,4044,90
1612,ulta,Automatic Eye Liner,4029,84
P199109,sephora,Lip Butter,3968,90
P151107,sephora,Full Cover Concealer,3890,88
VP11242,ulta,24/7 Glide-On Eye Pencil,3889,88
xlsImpprod3570089,ulta,Eyeshadow,3818,84
P109936,sephora,Tinted Moisturizer Broad Spectrum SPF 20,3769,88
P278610,sephora,Amazonian Clay 12-Hour Blush,3755,92
P381000,sephora,Better Than Sex Mascara,3732,76
P241303,sephora,Natural Eye Neutral Eye Shadow Collection,3639,94
P140906,sephora,Tinted Moisturizer Broad Spectrum SPF 20 - Oil Free,3614,86
P384060,sephora,DIPBROW™ Pomade,3510,94
P264900,sephora,The POREfessional,3472,84
P377873,sephora,Radiant Creamy Concealer,3423,88
P78834,sephora,Velvet Matte Lip Pencil,3407,90
P281411,sephora,Cream Lip Stain,3405,84
P46017,sephora,Blinc Mascara,3372,84
P218431,sephora,TOUCHE ÉCLAT - Radiant Touch,3369,88
P386915,sephora,They're Real! Push-Up Liner,3369,56
P210575,sephora,Veil Mineral Primer,3357,88
P302918,sephora,Amazonian Clay 12-Hour Full Coverage Foundation SPF 15,3330,82
P384954,sephora,Everlasting Liquid Lipstick,3315,86
P177118,sephora,Duo Mat Powder Foundation,3249,90
P61005,sephora,bareMinerals All-Over Face Color,3219,92
P69300,sephora,Brow Powder Duo,3197,94
P236816,sephora,Dior Addict Lip Glow,3120,88
P182405,sephora,Prime Time™ Foundation Primer,3094,88
P12790,sephora,Bronzing Powder,3043,94
P175208,sephora,Diorshow Black Out Mascara,2895,84
P247355,sephora,Sheer Glow Foundation,2719,86
P231510,sephora,'Hello Flawless!' SPF 15,2706,88
P300339,sephora,Camera Ready BB Cream SPF 35,2691,82
P104914,sephora,Diorskin Airflash Spray Foundation,2657,88
P255102,sephora,LipSurgence™ Lip Tint,2647,82
P122751,sephora,Almost Lipstick,2641,90
xlsImpprod3790037,ulta,4-in-1 Pressed Mineral Makeup SPF 15,2604,90
xlsImpprod3020045,ulta,Soft Matte Lip Cream,2596,84
P218317,sephora,Phenomen'Eyes Mascara,2594,78
xlsImpprod2150066,ulta,Jumbo Eye Pencil,2591,84
P1272,sephora,Benetint,2574,86
xlsImpprod4600061,ulta,bareMinerals READY Foundation Broad Spectrum SPF 20,2537,76
P231113,sephora,Lock-It Tattoo Concealer,2499,78
P217907,sephora,Smoky Lash,2469,84
P218791,sephora,Diorshow Iconic Mascara,2446,86
P240613,sephora,Sugar Rosé Tinted Lip Treatment SPF 15,2446,90
P249814,sephora,Rouge Cream Lipstick,2411,86
P301802,sephora,Immaculate Liquid Powder Foundation Mattifying Oil Free,2393,82
P236904,sephora,Nano Lip Liner,2387,84
P228100,sephora,HALO Hydrating Perfecting Powder,2374,88
xlsImpprod3570083,ulta,Lipstick,2353,82
P279639,sephora,Long-Lasting 12HR Wear Eye Liner,2346,86
P276319,sephora,Waterproof Eye Makeup Remover,2335,88
P99901,sephora,Diorshow Waterproof Mascara,2335,80
P2866,sephora,The Multiple,2328,88
P242203,sephora,HD Invisible Cover Concealer,2286,80
P104006,sephora,Blush/Bronzer Duo,2280,90
P377542,sephora,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,2274,86
P266528,sephora,Diorshow Maximizer Lash Plumping Serum,2258,90
P1281,sephora,High Beam,2246,88
P268702,sephora,Rouge Artist Intense,2225,88
P253113,sephora,Stay Don't Stray,2206,76
xlsImpprod3150103,ulta,Naked Palette,2198,94
P12573,sephora,Intense Therapy Lip Balm SPF 25,2163,94
P0250,sephora,Duo Eyeshadow,2140,90
xlsImpprod2150072,ulta,Round Case Lipstick,2108,82
P266811,sephora,Ultra Shine Lip Gel,2100,90
xlsImpprod5770257,ulta,Your Skin But Better CC Cream with SPF 50+,2093,86
P385364,sephora,bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,2043,68
P69304,sephora,Brow Gel,2042,90
P139005,sephora,pores no more® pore refiner primer,1980,88
P284507,sephora,Jumbo Liner 12HR Wear Waterproof,1976,88
P279113,sephora,Chubby Stick Moisturizing Lip Colour Balm,1966,88
P387435,sephora,Studded Kiss Lipstick,1956,80
P0249,sephora,Single Eye Shadow,1943,86
P42205,sephora,Strawberry Lip Balm,1932,92
xlsImpprod4550001,ulta,Naked Skin Weightless Ultra Definition Liquid Makeup,1902,88
P398805,sephora,Becca x Jaclyn Hill Shimmering Skin Perfector® Pressed,1895,92
P122912,sephora,High Impact Mascara,1891,88
P252504,sephora,Diorshow Extase Mascara,1888,80
P234967,sephora,Even Better Makeup SPF 15,1875,84
P122735,sephora,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",1867,92
P8431,sephora,Eye Shadow,1860,90
P157910,sephora,Some Kind-A Gorgeous,1857,78
xlsImpprod4040025,ulta,Naked2 Palette,1855,94
P136022,sephora,Silk Crème Oil Free Photo Edition Foundation,1854,84
P109935,sephora,Secret Concealer,1842,86
xlsImpprod10111980,ulta,bareMinerals bareSkin Pure Brightening Serum Foundation Broad Spectrum SPF 20,1835,78
xlsImpprod10421039,ulta,They're Real Push-Up Liner,1826,66
P67617,sephora,Amazonian Clay BB Tinted Moisturizer Broad Spectrum SPF 20 Sunscreen,1824,86
P171101,sephora,Sens'Eyes - Waterproof Sensitive Eye Cleanser,1813,88
P379986,sephora,Gimme Brow,1809,86
P266116,sephora,LipSurgence™ Matte Lip Tint,1799,80
P218426,sephora,ROUGE VOLUPTÉ - Silky Sensual Radiant Lipstick SPF 15,1796,88
P1278,sephora,Eye Bright,1779,86
P61009,sephora,bareMinerals Blush,1764,92
P270539,sephora,Long-Wear Gel Eyeliner,1763,88
P62612,sephora,Smudge Pots,1752,88
P288804,sephora,B.B. Cream Broad Spectrum SPF 27 PA++,1744,78
P187202,sephora,Tinted Brow Gel,1736,86
P119802,sephora,Skin Perfection Gel,1735,82
P61011,sephora,bareMinerals Eyecolor,1734,90
xlsImpprod3800003,ulta,Baby Lips Lip Balm,1734,86
310,mac,Lipstick,1707,92
xlsImpprod4141597,ulta,Matte Lipstick,1696,86
